date,location,eff_population,cases,deaths,death_per_100case,death_per_10Kpeople,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
7/12/2020,New Mexico,1181607,15028,545,3.63,0.030720874,,,,,,,,,,,,,,
7/12/2020,New York,12880388,406403,32029,7.88,0.006117828,,,,,,,,,,,,,,
7/12/2020,North Carolina,6913585,85831,1532,1.78,0.002574641,,,,,,,,,,,,,,
7/12/2020,North Dakota,494377,4338,91,2.1,0.042477704,,,,,,,,,,,,,,
7/12/2020,Northern Mariana Islands,36246,33,2,6.06,1.671908624,,,,,,,,,,,,,,
7/12/2020,Ohio,7618060,65592,3058,4.66,0.006117043,,,,,,,,,,,,,,
7/12/2020,Oklahoma,2620292,20235,422,2.09,0.00797621,,,,,,,,,,,,,,
7/12/2020,Oregon,2786629,12170,237,1.95,0.006997702,,,,,,,,,,,,,,
7/12/2020,Pennsylvania,7540629,99794,6950,6.96,0.009229999,,,,,,,,,,,,,,
7/12/2020,Puerto Rico,1828452,9654,167,1.73,0.009461555,,,,,,,,,,,,,,
7/12/2020,Rhode Island,699904,17312,976,5.64,0.08058248,,,,,,,,,,,,,,
